,title,price,link
0,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,"₹33,990",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-thin-light-laptop/p/itm0e009f57a591b?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_1jDmuFeKcFCmUpd9PfAUl8r62rl7WsRwPnmeaJtqpcOqRvPtXfU46A0ojhZED8OkL5jhQWpdvx1OYmo5B%2BTaig%3D%3D&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
1,Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹46,990",/lenovo-ideapad-gaming-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-82k101b6in-82k101ftin-laptop/p/itm52edaf472c5df?pid=COMGFM5BFZHDDB4R&lid=LSTCOMGFM5BFZHDDB4RSEPODX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_1jDmuFeKcFCmUpd9PfAUl8r62rl7WsRwPnmeaJtqpcOouLRgvcwFnnUg7AhMGkt0ck3d4PEFBpcJrBfGKQ27lA%3D%3D&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
2,ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L71...,"₹56,890",/asus-vivobook-k15-oled-ryzen-7-octa-core-amd-r7-5700u-16-gb-512-gb-ssd-windows-11-home-km513ua-l712ws-thin-light-laptop/p/itmd737de314823c?pid=COMGB6DZQJHHSESY&lid=LSTCOMGB6DZQJHHSESYC1WZQS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=8e992b3e-0065-4acf-a484-a27f863f34b1.COMGB6DZQJHHSESY.SEARCH&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
3,ASUS Vivobook 15 Ryzen 3 Dual Core AMD R3-3250U - (8 GB/512 GB SSD/Windows 11 Home) M515DA-BQ331WS Thi...,"₹26,890",/asus-vivobook-15-ryzen-3-dual-core-amd-r3-3250u-8-gb-512-gb-ssd-windows-11-home-m515da-bq331ws-thin-light-laptop/p/itma868738386cc4?pid=COMGGVRGNTYYCFRY&lid=LSTCOMGGVRGNTYYCFRYKSUHHL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=8e992b3e-0065-4acf-a484-a27f863f34b1.COMGGVRGNTYYCFRY.SEARCH&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
4,HP Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Laptop,"₹57,890",/hp-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-14s-dy5005tu-thin-light-laptop/p/itm9372d97b214bd?pid=COMGG3S93DSUQPMU&lid=LSTCOMGG3S93DSUQPMUWKX9QS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=8e992b3e-0065-4acf-a484-a27f863f34b1.COMGG3S93DSUQPMU.SEARCH&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
5,ASUS VivoBook 14 (2022) Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M415DA-EB5...,"₹39,901",/asus-vivobook-14-2022-ryzen-7-quad-core-amd-r7-3700u-16-gb-512-gb-ssd-windows-11-home-m415da-eb512ws-thin-light-laptop/p/itm111b016e68725?pid=COMGCG2GDC5RZZNX&lid=LSTCOMGCG2GDC5RZZNXYTRZ0J&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=8e992b3e-0065-4acf-a484-a27f863f34b1.COMGCG2GDC5RZZNX.SEARCH&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
6,ASUS Vivobook 15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ552WS Thin and Light La...,"₹38,190",/asus-vivobook-15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej552ws-thin-light-laptop/p/itm525646f19a957?pid=COMGFW4JYGJ9ZDP5&lid=LSTCOMGFW4JYGJ9ZDP5YEVNS8&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=8e992b3e-0065-4acf-a484-a27f863f34b1.COMGFW4JYGJ9ZDP5.SEARCH&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
7,ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...,"₹54,890",/asus-tuf-gaming-a15-ryzen-5-hexa-core-amd-r5-4600h-8-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-gtx-1650-144-hz-fa506ihrz-hn112w-laptop/p/itm20d472c5059c0?pid=COMGGJZFJRZY45WX&lid=LSTCOMGGJZFJRZY45WXD02LFG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=en_1jDmuFeKcFCmUpd9PfAUl8r62rl7WsRwPnmeaJtqpcPEt53nYPf%2B75OZN8WE88y0qyNhZAxS4hf9njq%2F%2BRjytw%3D%3D&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
8,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,"₹43,890",/lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=8e992b3e-0065-4acf-a484-a27f863f34b1.COMG9VHHF6HVJPP9.SEARCH&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
9,Lenovo Ideapad Slim 3 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81WE01QLIN | 81WE01QJIN Lap...,"₹29,990",/lenovo-ideapad-slim-3-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-81we01qlin-81we01qjin-laptop/p/itm90d17e77ca3b4?pid=COMGEMAYEQDCHRMC&lid=LSTCOMGEMAYEQDCHRMCEBZ24H&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=8e992b3e-0065-4acf-a484-a27f863f34b1.COMGEMAYEQDCHRMC.SEARCH&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
10,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,"₹26,990",/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-thin-light-laptop/p/itmae4a34193296d?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=8e992b3e-0065-4acf-a484-a27f863f34b1.COMG87FFPEDAAGXW.SEARCH&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
11,Lenovo IdeaPad 3 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/Intel Integrated Iris Xe) 15IAU7...,"₹56,990",/lenovo-ideapad-3-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-intel-integrated-iris-xe-15iau7-gaming-laptop/p/itmb696704ad257e?pid=COMGHA9RYJRG8JE6&lid=LSTCOMGHA9RYJRG8JE6DAGDGQ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_1jDmuFeKcFCmUpd9PfAUl8r62rl7WsRwPnmeaJtqpcM%2FZ%2FU8P6v5BdFIpKIYruVbRyKgZG5DZ7xsS%2BImCPNqSg%3D%3D&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
12,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹51,890",/asus-tuf-gaming-a17-90whr-battery-ryzen-5-hexa-core-amd-r5-4600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fa706ihrb-hx041w-laptop/p/itm210385fd14c7a?pid=COMGFYQZZFRKBNWV&lid=LSTCOMGFYQZZFRKBNWVYP70VR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=8e992b3e-0065-4acf-a484-a27f863f34b1.COMGFYQZZFRKBNWV.SEARCH&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
13,ASUS Vivobook 15 Ryzen 3 Dual Core AMD Ryzen™ 3 3250U - (8 GB/512 GB SSD/Windows 11 Home) M515DA-BQ332...,"₹28,790",/asus-vivobook-15-ryzen-3-dual-core-amd-ryzen-3250u-8-gb-512-gb-ssd-windows-11-home-m515da-bq332ws-laptop/p/itmc834f146e1c8c?pid=COMGENRBUHZQZZVW&lid=LSTCOMGENRBUHZQZZVWA6RBOK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=8e992b3e-0065-4acf-a484-a27f863f34b1.COMGENRBUHZQZZVW.SEARCH&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
14,ASUS Vivobook 15 Ryzen 3 Dual Core AMD R3-3250U - (8 GB/512 GB SSD/Windows 11 Home) M515DA-BQ332WS Thi...,"₹26,890",/asus-vivobook-15-ryzen-3-dual-core-amd-r3-3250u-8-gb-512-gb-ssd-windows-11-home-m515da-bq332ws-thin-light-laptop/p/itmc834f146e1c8c?pid=COMGGVRGGXQXHPZG&lid=LSTCOMGGVRGGXQXHPZGR4UZLN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=8e992b3e-0065-4acf-a484-a27f863f34b1.COMGGVRGGXQXHPZG.SEARCH&ppt=None&ppn=None&ssid=ldxmum4ydc0000001663996554580&qH=c06ea84a1e3dc3c6
