,title,price,link
0,RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,"₹44,990",/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_NU9ICZAb5qJ0HHJwNGbLejkkCqOa2pH3TO3ZcXKkvxu7LL55MJMMhgFWsyRrkLFJ5A9NwpuRe%2BqZBn9m80rmXQ%3D%3D&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
1,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,"₹38,799",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-thin-light-laptop/p/itm0e009f57a591b?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_NU9ICZAb5qJ0HHJwNGbLejkkCqOa2pH3TO3ZcXKkvxuQZ%2F4C4fqLV4fd4sXNxtQM87N8Qo4v54HBhNQIb4Wspw%3D%3D&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
2,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,"₹32,990",/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-thin-light-laptop/p/itmae4a34193296d?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMG87FFPEDAAGXW.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
3,RedmiBook Pro Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) Thin and Light Laptop,"₹28,990",/redmibook-pro-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-thin-light-laptop/p/itm302328cdf5e24?pid=COMG4Z35GKZTRDSF&lid=LSTCOMG4Z35GKZTRDSFFNBHAW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMG4Z35GKZTRDSF.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
4,Lenovo Celeron Dual Core - (4 GB/256 GB HDD/256 GB SSD/DOS) 82C3A008IH Laptop,"₹20,990",/lenovo-celeron-dual-core-4-gb-256-gb-hdd-256-ssd-dos-82c3a008ih-laptop/p/itmf344e053ea058?pid=COMGEEXTG9GGBKRT&lid=LSTCOMGEEXTG9GGBKRTMKA2ZB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMGEEXTG9GGBKRT.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
5,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,"₹43,018",/lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMG9VHHF6HVJPP9.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
6,MSI Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) ...,"₹55,990",/msi-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-gf63-thin-11uc-867in-gaming-laptop/p/itm4e86e31b8e273?pid=COMGEY8WQXQVBTZB&lid=LSTCOMGEY8WQXQVBTZBXBQHFX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMGEY8WQXQVBTZB.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
7,DELL Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) D560841WIN9S Laptop,"₹41,990",/dell-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-d560841win9s-laptop/p/itma38daad78336a?pid=COMGG45GXQXPHZFW&lid=LSTCOMGG45GXQXPHZFWAE3FGY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=en_NU9ICZAb5qJ0HHJwNGbLejkkCqOa2pH3TO3ZcXKkvxtxSG%2BfNSXwVuoe%2FbF3hSo7%2FX6DOM6MlOlZFjSMnZ50ZA%3D%3D&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
8,APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹88,990",/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMFXEKMGNHZYFH9.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
9,MSI Bravo 15 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeo...,"₹49,990",/msi-bravo-15-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-5500m-144-hz-b5dd-410in-gaming-laptop/p/itm12cedc4da03bc?pid=COMGGHMQVWN6JJGC&lid=LSTCOMGGHMQVWN6JJGCTAUNJV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=f56dcf92-b587-42ca-b9b1-3baf245ffdce.COMGGHMQVWN6JJGC.SEARCH&ppt=None&ppn=None&ssid=uw1ojv6uv40000001669108958547&qH=c06ea84a1e3dc3c6
